,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
3/19/2021,24.8 C,18.0 C,11.5 C,16.7 C,13.2 C,9.7 C,91 %,75 %,54 %,11.1 km/h,1.0 km/h,0.0 km/h,"1,001.39 hPa",993.74 hPa,0.00 mm
3/20/2021,23.9 C,19.8 C,15.4 C,18.4 C,16.3 C,14.1 C,95 %,81 %,66 %,35.2 km/h,4.9 km/h,0.0 km/h,"1,003.39 hPa",994.01 hPa,0.00 mm
3/22/2021,31.1 C,24.3 C,16.9 C,17.9 C,15.7 C,10.5 C,99 %,63 %,38 %,11.7 km/h,0.2 km/h,0.0 km/h,"1,003.86 hPa","1,000.51 hPa",0.00 mm
3/23/2021,29.5 C,20.5 C,13.3 C,20.9 C,16.0 C,13.1 C,99 %,80 %,40 %,16.7 km/h,1.6 km/h,0.0 km/h,"1,002.88 hPa",996.07 hPa,0.00 mm
3/24/2021,28.8 C,22.8 C,17.5 C,23.0 C,20.1 C,16.1 C,99 %,85 %,70 %,15.1 km/h,2.7 km/h,0.0 km/h,997.56 hPa,993.36 hPa,0.00 mm
3/25/2021,28.6 C,22.4 C,20.2 C,24.2 C,21.6 C,20.1 C,99 %,96 %,73 %,20.4 km/h,3.7 km/h,0.0 km/h,995.70 hPa,991.26 hPa,51.31 mm
3/26/2021,21.2 C,18.6 C,15.5 C,21.1 C,18.0 C,15.0 C,99 %,97 %,88 %,27.8 km/h,10.4 km/h,0.0 km/h,"1,001.19 hPa",992.99 hPa,0.51 mm
3/27/2021,25.0 C,17.0 C,11.0 C,15.2 C,12.1 C,8.2 C,99 %,76 %,46 %,29.6 km/h,4.8 km/h,0.0 km/h,"1,002.00 hPa",998.88 hPa,0.00 mm
3/28/2021,26.0 C,18.8 C,10.0 C,16.6 C,13.6 C,9.6 C,98 %,74 %,55 %,16.7 km/h,0.7 km/h,0.0 km/h,"1,001.39 hPa",999.70 hPa,0.00 mm
3/29/2021,24.5 C,24.4 C,0.0 C,15.7 C,15.7 C,15.7 C,93 %,58 %,0 %,0.0 km/h,0.0 km/h,0.0 km/h,999.70 hPa,999.70 hPa,0.00 mm
3/30/2021,--,--,--,--,--,--,95 %,77 %,41 %,--,--,--,--,--,--
3/31/2021,--,--,--,--,--,--,99 %,77 %,43 %,--,--,--,--,--,--
4/1/2021,--,--,--,--,--,--,84 %,71 %,46 %,--,--,--,--,--,--
4/2/2021,--,--,--,--,--,--,79 %,61 %,44 %,--,--,--,--,--,--
4/3/2021,--,--,--,--,--,--,87 %,66 %,43 %,--,--,--,--,--,--
4/4/2021,26.2 C,22.8 C,21.4 C,18.1 C,16.9 C,16.3 C,87 %,68 %,47 %,5.6 km/h,0.1 km/h,0.0 km/h,999.76 hPa,994.99 hPa,0.00 mm
4/5/2021,28.7 C,21.3 C,17.3 C,22.8 C,18.3 C,15.7 C,99 %,83 %,63 %,19.2 km/h,1.3 km/h,0.0 km/h,998.38 hPa,995.19 hPa,0.00 mm
4/6/2021,28.3 C,21.0 C,15.0 C,22.2 C,18.7 C,14.8 C,99 %,88 %,64 %,17.5 km/h,1.0 km/h,0.0 km/h,"1,000.37 hPa",996.17 hPa,0.00 mm
4/7/2021,28.6 C,23.0 C,17.2 C,24.1 C,20.7 C,17.1 C,99 %,88 %,70 %,24.1 km/h,2.2 km/h,0.0 km/h,997.49 hPa,993.36 hPa,0.00 mm
4/8/2021,32.9 C,26.1 C,21.2 C,25.4 C,23.0 C,20.6 C,99 %,84 %,64 %,29.6 km/h,4.7 km/h,0.0 km/h,994.75 hPa,988.55 hPa,0.00 mm
4/9/2021,25.4 C,20.8 C,19.3 C,24.9 C,20.6 C,19.1 C,99 %,99 %,91 %,20.9 km/h,3.2 km/h,0.0 km/h,996.38 hPa,992.18 hPa,22.05 mm
4/10/2021,22.7 C,19.2 C,14.6 C,22.6 C,18.8 C,13.0 C,99 %,98 %,88 %,46.3 km/h,7.3 km/h,0.0 km/h,997.70 hPa,989.74 hPa,14.99 mm
4/11/2021,24.9 C,16.8 C,11.2 C,13.8 C,11.9 C,10.6 C,99 %,76 %,43 %,41.5 km/h,4.2 km/h,0.0 km/h,"1,004.88 hPa",996.99 hPa,1.52 mm
4/12/2021,26.0 C,17.0 C,9.3 C,15.8 C,12.2 C,9.1 C,99 %,77 %,40 %,7.6 km/h,0.2 km/h,0.0 km/h,"1,005.76 hPa","1,001.86 hPa",0.00 mm
4/13/2021,26.7 C,18.3 C,11.2 C,17.6 C,13.9 C,10.9 C,99 %,79 %,49 %,20.9 km/h,0.3 km/h,0.0 km/h,"1,005.49 hPa","1,001.86 hPa",0.00 mm
4/14/2021,27.2 C,22.7 C,17.6 C,17.6 C,15.9 C,13.8 C,85 %,66 %,52 %,10.1 km/h,0.4 km/h,0.0 km/h,"1,002.00 hPa",994.51 hPa,0.00 mm
4/15/2021,35.1 C,21.8 C,9.4 C,21.1 C,17.1 C,6.4 C,99 %,78 %,41 %,9.3 km/h,0.0 km/h,0.0 km/h,997.49 hPa,993.57 hPa,0.00 mm
4/16/2021,32.0 C,23.5 C,16.5 C,24.3 C,19.7 C,16.3 C,99 %,82 %,52 %,2.7 km/h,0.0 km/h,0.0 km/h,998.24 hPa,995.26 hPa,0.00 mm
4/17/2021,31.4 C,23.3 C,17.4 C,23.8 C,19.6 C,16.9 C,99 %,82 %,52 %,7.6 km/h,0.1 km/h,0.0 km/h,"1,000.37 hPa",996.75 hPa,0.00 mm
4/18/2021,30.0 C,22.6 C,16.8 C,22.6 C,18.7 C,15.9 C,99 %,80 %,52 %,16.7 km/h,0.5 km/h,0.0 km/h,"1,000.37 hPa",996.75 hPa,0.00 mm
4/19/2021,29.8 C,26.1 C,18.1 C,20.9 C,19.4 C,16.8 C,94 %,68 %,53 %,16.7 km/h,1.1 km/h,0.0 km/h,"1,000.37 hPa",996.68 hPa,0.00 mm
4/20/2021,29.9 C,22.9 C,16.9 C,21.6 C,18.2 C,16.1 C,99 %,76 %,54 %,16.7 km/h,1.1 km/h,0.0 km/h,999.19 hPa,994.07 hPa,0.00 mm
4/21/2021,24.7 C,19.0 C,15.8 C,22.9 C,17.8 C,15.6 C,99 %,93 %,76 %,29.9 km/h,1.9 km/h,0.0 km/h,996.89 hPa,992.08 hPa,15.75 mm
4/22/2021,15.8 C,15.8 C,15.8 C,15.6 C,15.6 C,15.6 C,99 %,99 %,99 %,1.9 km/h,1.9 km/h,1.6 km/h,996.38 hPa,996.38 hPa,0.00 mm
4/23/2021,15.8 C,15.8 C,15.8 C,15.6 C,15.6 C,15.6 C,99 %,99 %,99 %,1.9 km/h,1.9 km/h,1.6 km/h,996.38 hPa,996.38 hPa,0.00 mm
4/24/2021,25.9 C,18.4 C,14.3 C,18.7 C,15.2 C,10.3 C,99 %,83 %,58 %,9.3 km/h,1.4 km/h,0.0 km/h,"1,004.74 hPa",996.38 hPa,0.00 mm
4/25/2021,26.1 C,16.4 C,8.3 C,11.4 C,8.9 C,7.1 C,95 %,64 %,35 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,007.25 hPa","1,002.51 hPa",0.00 mm
4/26/2021,26.1 C,16.1 C,8.4 C,14.7 C,10.8 C,6.4 C,99 %,73 %,45 %,9.7 km/h,0.1 km/h,0.0 km/h,"1,009.25 hPa",995.56 hPa,0.00 mm
4/27/2021,25.4 C,17.2 C,12.3 C,14.2 C,11.8 C,10.0 C,88 %,72 %,45 %,9.3 km/h,0.5 km/h,0.0 km/h,"1,003.76 hPa","1,000.24 hPa",0.00 mm
4/29/2021,--,--,--,--,--,--,99 %,84 %,47 %,--,--,--,--,--,--
4/30/2021,--,--,--,--,--,--,71 %,56 %,47 %,--,--,--,--,--,--
5/1/2021,25.8 C,21.5 C,18.9 C,16.2 C,15.4 C,14.6 C,84 %,63 %,43 %,0.0 km/h,0.0 km/h,0.0 km/h,995.70 hPa,993.50 hPa,0.00 mm
5/2/2021,31.0 C,21.8 C,14.0 C,23.9 C,17.9 C,13.8 C,99 %,77 %,50 %,3.2 km/h,0.3 km/h,0.0 km/h,996.38 hPa,990.89 hPa,0.00 mm
5/3/2021,32.2 C,24.2 C,19.6 C,23.4 C,19.5 C,13.8 C,98 %,77 %,58 %,22.5 km/h,0.7 km/h,0.0 km/h,999.19 hPa,988.18 hPa,0.00 mm
5/4/2021,19.6 C,14.1 C,9.3 C,13.8 C,6.6 C,2.7 C,79 %,59 %,46 %,24.1 km/h,2.8 km/h,0.0 km/h,"1,013.51 hPa",999.26 hPa,1.02 mm
5/5/2021,14.3 C,9.8 C,7.8 C,10.1 C,8.2 C,5.7 C,99 %,91 %,69 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,013.58 hPa","1,009.18 hPa",3.05 mm
5/6/2021,24.0 C,13.0 C,5.5 C,10.4 C,7.1 C,4.8 C,99 %,73 %,31 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,012.19 hPa","1,007.18 hPa",0.00 mm
5/7/2021,18.3 C,10.7 C,5.6 C,10.5 C,6.8 C,4.7 C,99 %,80 %,45 %,1.6 km/h,0.0 km/h,0.0 km/h,"1,009.18 hPa","1,006.20 hPa",0.00 mm
5/8/2021,20.5 C,12.0 C,5.0 C,11.1 C,8.0 C,4.8 C,99 %,79 %,48 %,3.2 km/h,0.2 km/h,0.0 km/h,"1,007.76 hPa","1,002.74 hPa",0.00 mm
5/9/2021,23.9 C,13.9 C,5.4 C,13.3 C,9.4 C,4.9 C,99 %,77 %,47 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,005.55 hPa","1,001.39 hPa",0.00 mm
5/20/2021,15.9 C,14.9 C,14.1 C,15.2 C,13.8 C,12.2 C,99 %,93 %,84 %,3.7 km/h,0.0 km/h,0.0 km/h,995.36 hPa,991.37 hPa,0.51 mm
5/21/2021,15.4 C,15.4 C,15.4 C,15.2 C,15.2 C,15.2 C,99 %,99 %,87 %,0.0 km/h,0.0 km/h,0.0 km/h,992.69 hPa,992.69 hPa,0.00 mm
5/22/2021,--,--,--,--,--,--,94 %,65 %,34 %,--,--,--,--,--,--
5/23/2021,--,--,--,--,--,--,82 %,62 %,31 %,--,--,--,--,--,--
5/24/2021,--,--,--,--,--,--,84 %,58 %,27 %,--,--,--,--,--,--
5/25/2021,24.3 C,17.2 C,8.7 C,7.5 C,5.9 C,4.6 C,85 %,52 %,31 %,9.3 km/h,0.2 km/h,0.0 km/h,"1,003.56 hPa","1,001.39 hPa",0.00 mm
5/26/2021,25.8 C,14.3 C,5.2 C,12.4 C,8.2 C,3.8 C,99 %,70 %,37 %,20.9 km/h,0.7 km/h,0.0 km/h,"1,003.25 hPa",996.55 hPa,0.00 mm
5/27/2021,25.7 C,15.3 C,5.1 C,13.2 C,9.9 C,4.9 C,99 %,74 %,40 %,19.2 km/h,1.2 km/h,0.0 km/h,998.68 hPa,985.68 hPa,0.00 mm
5/28/2021,24.3 C,17.1 C,11.2 C,12.8 C,10.4 C,5.2 C,89 %,67 %,42 %,20.4 km/h,1.5 km/h,0.0 km/h,991.20 hPa,982.56 hPa,0.00 mm
5/29/2021,20.8 C,12.5 C,9.4 C,2.8 C,0.9 C,-1.3 C,71 %,47 %,22 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,004.27 hPa","1,001.76 hPa",0.00 mm
5/30/2021,21.1 C,11.4 C,3.1 C,7.6 C,3.4 C,-0.3 C,87 %,62 %,26 %,11.1 km/h,0.4 km/h,0.0 km/h,"1,006.57 hPa","1,001.39 hPa",0.00 mm
5/31/2021,26.9 C,13.4 C,3.7 C,9.6 C,5.6 C,0.4 C,83 %,63 %,30 %,11.7 km/h,0.3 km/h,0.0 km/h,"1,002.68 hPa",995.50 hPa,0.00 mm
6/1/2021,27.8 °C,15.3 °C,8.6 °C,10.1 °C,6.9 °C,4.9 °C,80 %,61 %,28 %,15.1 km/h,0.6 km/h,0.0 km/h,995.50 hPa,988.69 hPa,0.00 mm
6/2/2021,29.2 °C,15.5 °C,9.1 °C,14.1 °C,9.5 °C,6.8 °C,92 %,71 %,34 %,6.0 km/h,0.0 km/h,0.0 km/h,"1,001.49 hPa",995.50 hPa,0.00 mm
6/3/2021,24.7 °C,15.8 °C,7.6 °C,13.5 °C,9.6 °C,7.0 °C,99 %,71 %,35 %,25.9 km/h,1.6 km/h,0.0 km/h,999.87 hPa,992.55 hPa,0.00 mm
6/4/2021,30.5 °C,19.7 °C,12.9 °C,20.6 °C,15.4 °C,11.8 °C,99 %,79 %,53 %,7.6 km/h,0.2 km/h,0.0 km/h,993.19 hPa,987.37 hPa,0.00 mm
6/5/2021,17.9 °C,17.9 °C,17.9 °C,12.3 °C,12.3 °C,12.3 °C,70 %,70 %,70 %,7.6 km/h,7.6 km/h,7.6 km/h,991.87 hPa,991.87 hPa,0.00 mm
6/8/2021,17.9 °C,16.7 °C,12.4 °C,14.2 °C,12.5 °C,9.9 °C,99 %,78 %,70 %,7.6 km/h,5.7 km/h,0.0 km/h,"1,000.07 hPa",991.87 hPa,0.00 mm
6/9/2021,20.4 °C,16.1 °C,12.4 °C,19.1 °C,15.7 °C,12.2 °C,99 %,98 %,90 %,11.7 km/h,0.2 km/h,0.0 km/h,"1,000.00 hPa",996.24 hPa,0.00 mm
6/10/2021,21.7 °C,15.6 °C,11.1 °C,18.9 °C,13.8 °C,5.9 °C,99 %,90 %,68 %,19.2 km/h,0.6 km/h,0.0 km/h,"1,008.50 hPa",999.49 hPa,0.00 mm
6/11/2021,22.6 °C,12.2 °C,3.3 °C,11.2 °C,5.8 °C,1.5 °C,99 %,68 %,37 %,13.4 km/h,0.4 km/h,0.0 km/h,"1,008.36 hPa","1,002.68 hPa",0.00 mm
6/12/2021,24.4 °C,15.5 °C,9.1 °C,15.8 °C,12.5 °C,8.9 °C,99 %,84 %,57 %,18.5 km/h,1.9 km/h,0.0 km/h,"1,003.05 hPa",996.38 hPa,0.00 mm
6/13/2021,24.2 °C,15.9 °C,9.6 °C,14.1 °C,12.1 °C,9.4 °C,99 %,80 %,51 %,19.2 km/h,1.8 km/h,0.0 km/h,998.51 hPa,994.51 hPa,0.00 mm
6/14/2021,16.6 °C,12.0 °C,7.9 °C,13.1 °C,9.6 °C,6.0 °C,99 %,86 %,65 %,33.3 km/h,4.3 km/h,0.0 km/h,"1,011.99 hPa",998.07 hPa,0.00 mm
6/15/2021,12.0 °C,9.3 °C,7.7 °C,6.0 °C,3.9 °C,2.2 °C,78 %,70 %,59 %,11.7 km/h,0.8 km/h,0.0 km/h,"1,014.56 hPa","1,011.38 hPa",0.00 mm
6/16/2021,7.8 °C,4.9 °C,2.2 °C,5.8 °C,3.8 °C,2.1 °C,99 %,93 %,69 %,5.6 km/h,0.0 km/h,0.0 km/h,"1,016.19 hPa","1,012.26 hPa",12.95 mm
6/17/2021,12.0 °C,6.7 °C,4.4 °C,8.3 °C,5.1 °C,4.2 °C,99 %,90 %,66 %,1.9 km/h,0.0 km/h,0.0 km/h,"1,014.70 hPa","1,010.26 hPa",0.00 mm
6/18/2021,11.7 °C,8.3 °C,5.8 °C,7.4 °C,5.8 °C,4.3 °C,94 %,85 %,68 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,012.19 hPa","1,008.06 hPa",0.00 mm
6/19/2021,17.0 °C,8.9 °C,2.5 °C,7.3 °C,5.0 °C,2.3 °C,99 %,80 %,47 %,1.9 km/h,0.0 km/h,0.0 km/h,"1,010.87 hPa","1,007.18 hPa",0.00 mm
6/20/2021,16.2 °C,8.1 °C,0.9 °C,10.6 °C,6.0 °C,0.7 °C,99 %,88 %,55 %,7.6 km/h,0.2 km/h,0.0 km/h,"1,007.89 hPa","1,001.05 hPa",0.00 mm
6/21/2021,18.6 °C,11.8 °C,8.6 °C,13.6 °C,10.4 °C,8.4 °C,99 %,92 %,71 %,2.7 km/h,0.0 km/h,0.0 km/h,"1,004.67 hPa","1,001.39 hPa",0.00 mm
6/22/2021,18.5 °C,12.3 °C,9.8 °C,16.1 °C,11.2 °C,9.6 °C,99 %,93 %,72 %,13.4 km/h,0.3 km/h,0.0 km/h,"1,004.67 hPa",998.00 hPa,0.00 mm
6/23/2021,19.6 °C,13.3 °C,10.2 °C,15.2 °C,12.2 °C,10.1 °C,99 %,94 %,72 %,9.3 km/h,0.2 km/h,0.0 km/h,998.07 hPa,991.57 hPa,0.00 mm
6/24/2021,21.4 °C,12.7 °C,6.9 °C,13.9 °C,9.8 °C,6.7 °C,99 %,85 %,52 %,11.1 km/h,0.3 km/h,0.0 km/h,"1,000.75 hPa",993.26 hPa,0.00 mm
6/25/2021,19.0 °C,11.1 °C,3.6 °C,13.8 °C,9.1 °C,3.4 °C,99 %,89 %,66 %,16.7 km/h,1.3 km/h,0.0 km/h,999.87 hPa,992.08 hPa,0.25 mm
6/26/2021,15.1 °C,9.8 °C,5.0 °C,9.7 °C,5.9 °C,-0.1 °C,99 %,79 %,45 %,40.7 km/h,5.2 km/h,0.0 km/h,"1,009.08 hPa",995.50 hPa,0.00 mm
6/27/2021,13.0 °C,4.8 °C,4.7 °C,0.0 °C,-0.1 °C,-1.3 °C,78 %,69 %,35 %,6.8 km/h,0.0 km/h,0.0 km/h,"1,009.69 hPa","1,009.08 hPa",0.00 mm
6/28/2021,13.6 °C,8.0 °C,0.4 °C,6.4 °C,0.6 °C,-2.2 °C,87 %,62 %,43 %,15.1 km/h,1.6 km/h,0.0 km/h,"1,015.51 hPa",995.56 hPa,0.00 mm
6/29/2021,19.7 °C,6.2 °C,-2.7 °C,1.6 °C,-1.8 °C,-4.3 °C,95 %,64 %,21 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,015.00 hPa","1,010.06 hPa",0.00 mm
6/30/2021,14.7 °C,5.3 °C,-0.3 °C,13.1 °C,0.8 °C,-1.1 °C,99 %,76 %,41 %,15.1 km/h,0.9 km/h,0.0 km/h,"1,010.36 hPa","1,001.86 hPa",0.00 mm
7/1/2021,17.7 °C,9.4 °C,1.7 °C,4.6 °C,2.9 °C,0.7 °C,95 %,67 %,37 %,16.7 km/h,1.6 km/h,0.0 km/h,"1,003.01 hPa",997.05 hPa,0.00 mm
7/2/2021,20.0 °C,9.8 °C,1.5 °C,5.4 °C,2.9 °C,-0.2 °C,99 %,66 %,32 %,9.3 km/h,0.6 km/h,0.0 km/h,"1,010.26 hPa","1,001.02 hPa",0.00 mm
7/3/2021,19.3 °C,9.0 °C,-0.2 °C,4.8 °C,1.6 °C,-1.7 °C,94 %,64 %,35 %,3.7 km/h,0.1 km/h,0.0 km/h,"1,010.26 hPa","1,005.38 hPa",0.00 mm
7/4/2021,20.5 °C,11.2 °C,4.4 °C,10.6 °C,5.9 °C,-0.9 °C,88 %,71 %,49 %,11.7 km/h,0.3 km/h,0.0 km/h,"1,005.38 hPa","1,001.76 hPa",0.00 mm
7/5/2021,22.7 °C,12.2 °C,3.9 °C,11.9 °C,7.4 °C,3.7 °C,99 %,76 %,42 %,1.9 km/h,0.0 km/h,0.0 km/h,"1,007.08 hPa","1,003.01 hPa",0.00 mm
7/6/2021,22.3 °C,14.0 °C,6.3 °C,15.5 °C,10.8 °C,5.3 °C,99 %,82 %,65 %,11.7 km/h,0.6 km/h,0.0 km/h,"1,003.25 hPa",991.70 hPa,0.00 mm
7/7/2021,21.6 °C,15.2 °C,11.7 °C,16.3 °C,13.5 °C,11.0 °C,99 %,90 %,71 %,14.8 km/h,0.9 km/h,0.0 km/h,"1,000.88 hPa",996.51 hPa,1.27 mm
7/8/2021,22.9 °C,14.2 °C,9.4 °C,18.2 °C,13.0 °C,9.2 °C,99 %,93 %,71 %,6.0 km/h,0.1 km/h,0.0 km/h,"1,000.37 hPa",994.38 hPa,0.00 mm
7/9/2021,26.6 °C,18.6 °C,11.3 °C,15.3 °C,13.8 °C,11.1 °C,99 %,77 %,48 %,17.5 km/h,1.2 km/h,0.0 km/h,995.36 hPa,990.48 hPa,0.00 mm
7/10/2021,18.2 °C,13.0 °C,4.8 °C,14.8 °C,5.0 °C,-1.6 °C,99 %,64 %,28 %,35.7 km/h,5.3 km/h,0.0 km/h,"1,007.69 hPa",993.87 hPa,1.52 mm
7/11/2021,19.1 °C,11.1 °C,4.1 °C,9.3 °C,3.0 °C,-0.5 °C,82 %,60 %,34 %,4.3 km/h,0.0 km/h,0.0 km/h,"1,004.88 hPa",994.75 hPa,0.00 mm
7/12/2021,27.6 °C,17.0 °C,11.0 °C,16.7 °C,10.8 °C,6.9 °C,80 %,68 %,50 %,20.9 km/h,2.2 km/h,0.0 km/h,997.70 hPa,992.25 hPa,0.00 mm
7/13/2021,20.2 °C,14.1 °C,9.2 °C,9.9 °C,7.0 °C,5.4 °C,78 %,63 %,45 %,31.5 km/h,15.0 km/h,1.6 km/h,"1,003.05 hPa",997.70 hPa,1.02 mm
7/14/2021,12.7 °C,10.1 °C,6.9 °C,12.3 °C,9.5 °C,6.4 °C,99 %,96 %,68 %,27.8 km/h,9.9 km/h,0.0 km/h,"1,004.27 hPa",999.39 hPa,12.70 mm
7/15/2021,21.3 °C,9.3 °C,1.4 °C,11.2 °C,5.0 °C,1.2 °C,99 %,79 %,36 %,15.1 km/h,3.9 km/h,0.0 km/h,"1,007.25 hPa","1,003.49 hPa",0.00 mm
7/16/2021,18.7 °C,9.5 °C,0.0 °C,10.4 °C,6.2 °C,1.3 °C,99 %,82 %,51 %,26.7 km/h,9.2 km/h,0.0 km/h,"1,003.49 hPa",994.01 hPa,0.00 mm
7/17/2021,15.7 °C,9.7 °C,4.9 °C,6.6 °C,-0.9 °C,-6.0 °C,83 %,50 %,24 %,35.2 km/h,15.2 km/h,0.0 km/h,"1,013.58 hPa",999.49 hPa,0.00 mm
7/18/2021,17.0 °C,7.2 °C,1.0 °C,0.1 °C,-3.4 °C,-6.0 °C,73 %,49 %,26 %,22.5 km/h,7.2 km/h,0.0 km/h,"1,016.39 hPa","1,011.55 hPa",0.00 mm
7/19/2021,18.3 °C,8.0 °C,0.5 °C,4.0 °C,-0.3 °C,-3.1 °C,85 %,60 %,27 %,24.1 km/h,6.6 km/h,0.0 km/h,"1,012.26 hPa","1,005.76 hPa",0.00 mm
7/20/2021,21.7 °C,10.9 °C,2.6 °C,3.7 °C,-0.1 °C,-2.7 °C,79 %,50 %,26 %,34.1 km/h,12.5 km/h,1.6 km/h,"1,006.27 hPa","1,000.07 hPa",0.00 mm
7/21/2021,22.9 °C,11.4 °C,4.5 °C,4.7 °C,1.5 °C,-0.3 °C,74 %,53 %,27 %,28.3 km/h,11.5 km/h,3.2 km/h,"1,002.88 hPa","1,000.07 hPa",0.00 mm
7/22/2021,16.0 °C,15.5 °C,14.6 °C,6.8 °C,6.3 °C,6.1 °C,79 %,54 %,29 %,14.8 km/h,7.6 km/h,3.7 km/h,999.19 hPa,998.75 hPa,0.00 mm
7/23/2021,14.6 °C,9.7 °C,9.4 °C,6.6 °C,4.9 °C,4.6 °C,73 %,72 %,57 %,10.1 km/h,0.6 km/h,0.0 km/h,998.75 hPa,998.51 hPa,0.00 mm
7/24/2021,21.9 °C,11.9 °C,9.4 °C,12.4 °C,6.8 °C,4.8 °C,77 %,72 %,54 %,20.9 km/h,4.1 km/h,0.0 km/h,998.58 hPa,989.50 hPa,0.00 mm
7/25/2021,18.8 °C,12.1 °C,7.3 °C,9.9 °C,6.8 °C,3.2 °C,85 %,71 %,55 %,28.3 km/h,12.5 km/h,0.0 km/h,999.26 hPa,991.74 hPa,0.00 mm
7/26/2021,19.6 °C,10.6 °C,3.8 °C,4.4 °C,2.0 °C,-2.7 °C,80 %,57 %,36 %,31.7 km/h,12.8 km/h,0.0 km/h,"1,011.24 hPa",998.88 hPa,0.00 mm
7/27/2021,17.9 °C,7.7 °C,-2.1 °C,-1.8 °C,-4.5 °C,-6.2 °C,74 %,46 %,22 %,28.3 km/h,9.4 km/h,0.0 km/h,"1,012.36 hPa","1,008.57 hPa",0.00 mm
7/28/2021,13.9 °C,6.4 °C,0.6 °C,1.7 °C,-3.3 °C,-5.7 °C,79 %,52 %,32 %,34.1 km/h,9.1 km/h,0.0 km/h,"1,017.20 hPa","1,012.36 hPa",0.00 mm
7/29/2021,17.6 °C,7.4 °C,-2.4 °C,1.8 °C,-2.4 °C,-5.7 °C,82 %,53 %,25 %,20.9 km/h,7.4 km/h,0.0 km/h,"1,014.36 hPa","1,007.25 hPa",0.00 mm
7/30/2021,18.2 °C,8.9 °C,1.4 °C,1.8 °C,-1.5 °C,-3.7 °C,85 %,52 %,26 %,33.3 km/h,12.9 km/h,0.0 km/h,"1,008.26 hPa","1,003.01 hPa",0.00 mm
7/31/2021,23.9 °C,11.6 °C,2.5 °C,3.9 °C,0.4 °C,-1.8 °C,83 %,51 %,19 %,16.7 km/h,5.6 km/h,0.0 km/h,"1,013.68 hPa","1,003.86 hPa",0.00 mm
8/1/2021,24.6 °C,11.1 °C,2.4 °C,5.8 °C,1.3 °C,-2.1 °C,76 %,54 %,22 %,14.8 km/h,4.8 km/h,0.0 km/h,"1,016.39 hPa","1,011.75 hPa",0.00 mm
8/2/2021,20.4 °C,10.9 °C,2.4 °C,7.1 °C,3.2 °C,-0.2 °C,98 %,62 %,36 %,24.1 km/h,6.6 km/h,0.0 km/h,"1,013.07 hPa","1,008.36 hPa",0.00 mm
8/3/2021,21.9 °C,14.4 °C,3.7 °C,6.5 °C,4.0 °C,0.4 °C,92 %,54 %,34 %,22.5 km/h,9.5 km/h,0.0 km/h,"1,010.50 hPa","1,007.48 hPa",0.00 mm
8/4/2021,23.2 °C,18.7 °C,8.8 °C,8.9 °C,4.9 °C,0.9 °C,78 %,42 %,27 %,20.9 km/h,8.6 km/h,0.0 km/h,"1,011.75 hPa","1,007.48 hPa",0.00 mm
8/5/2021,23.0 °C,14.1 °C,4.8 °C,10.9 °C,7.1 °C,1.3 °C,83 %,65 %,41 %,24.1 km/h,8.2 km/h,0.0 km/h,"1,008.36 hPa","1,002.20 hPa",0.00 mm
8/6/2021,25.9 °C,16.1 °C,6.2 °C,14.1 °C,10.6 °C,6.1 °C,99 %,74 %,41 %,29.6 km/h,10.4 km/h,0.0 km/h,"1,003.56 hPa",995.87 hPa,0.00 mm
8/7/2021,31.5 °C,18.7 °C,9.1 °C,14.1 °C,10.8 °C,7.7 °C,99 %,64 %,31 %,25.9 km/h,7.9 km/h,0.0 km/h,997.49 hPa,991.87 hPa,0.00 mm
8/8/2021,16.1 °C,11.9 °C,6.8 °C,10.0 °C,6.6 °C,4.8 °C,99 %,71 %,56 %,44.4 km/h,24.5 km/h,7.4 km/h,"1,006.74 hPa",995.70 hPa,5.84 mm
8/9/2021,14.8 °C,8.6 °C,4.6 °C,7.6 °C,3.5 °C,-0.5 °C,99 %,75 %,39 %,41.5 km/h,19.5 km/h,0.0 km/h,"1,011.89 hPa","1,006.74 hPa",0.76 mm
8/10/2021,19.5 °C,8.1 °C,-1.5 °C,4.1 °C,-0.2 °C,-4.3 °C,86 %,60 %,31 %,13.4 km/h,4.0 km/h,0.0 km/h,"1,012.26 hPa","1,008.87 hPa",0.00 mm
8/11/2021,21.8 °C,9.7 °C,1.6 °C,4.4 °C,1.8 °C,0.2 °C,98 %,63 %,26 %,16.7 km/h,3.7 km/h,0.0 km/h,"1,013.68 hPa","1,009.38 hPa",0.00 mm
8/12/2021,18.8 °C,9.0 °C,1.6 °C,4.8 °C,0.9 °C,-1.2 °C,84 %,60 %,30 %,19.2 km/h,3.5 km/h,0.0 km/h,"1,012.87 hPa","1,009.01 hPa",0.00 mm
8/13/2021,20.7 °C,9.1 °C,0.2 °C,6.8 °C,1.4 °C,-3.3 °C,80 %,61 %,32 %,13.4 km/h,2.9 km/h,0.0 km/h,"1,011.99 hPa","1,005.69 hPa",0.00 mm
